customer_id,signup_date,city,customer_type
1,2023-04-13,Chennai,Repeat
2,2023-12-15,Delhi,New
3,2023-09-28,Pune,New
4,2023-04-17,Delhi,New
5,2023-03-13,Mumbai,Repeat
6,2023-07-08,Delhi,Repeat
7,2023-01-21,Hyderabad,New
8,2023-04-13,Hyderabad,New
9,2023-05-02,Delhi,New
10,2023-08-03,Hyderabad,New
11,2023-11-27,Pune,New
12,2023-03-29,Chennai,Repeat
13,2023-04-10,Delhi,Repeat
14,2023-12-26,Pune,New
15,2023-06-01,Chennai,New
16,2023-05-11,Chennai,Repeat
17,2023-05-30,Pune,Repeat
18,2023-11-05,Bengaluru,New
19,2023-09-15,Delhi,New
20,2023-12-10,Chennai,New
21,2023-10-21,Chennai,New
22,2023-07-11,Hyderabad,New
23,2023-10-04,Chennai,New
24,2023-06-10,Pune,Repeat
25,2023-11-10,Chennai,New
26,2023-01-22,Bengaluru,New
27,2023-09-10,Delhi,New
28,2023-08-24,Delhi,Repeat
29,2023-12-11,Chennai,Repeat
30,2023-02-18,Mumbai,New
31,2023-02-28,Mumbai,New
32,2023-06-19,Pune,Repeat
33,2023-07-07,Mumbai,New
34,2023-09-28,Pune,New
35,2023-07-09,Hyderabad,New
36,2023-06-24,Pune,New
37,2023-02-20,Mumbai,New
38,2023-12-30,Chennai,Repeat
39,2023-02-24,Hyderabad,Repeat
40,2023-09-01,Mumbai,New
41,2023-11-16,Pune,Repeat
42,2023-05-11,Bengaluru,New
43,2023-11-03,Delhi,New
44,2023-05-15,Mumbai,New
45,2023-01-21,Pune,Repeat
46,2023-11-25,Hyderabad,New
47,2023-06-16,Mumbai,New
48,2023-10-01,Mumbai,Repeat
49,2023-03-30,Delhi,Repeat
50,2023-11-12,Pune,Repeat
51,2023-01-14,Bengaluru,New
52,2023-08-30,Hyderabad,New
53,2023-09-22,Pune,New
54,2023-12-12,Hyderabad,New
55,2023-02-22,Mumbai,Repeat
56,2023-12-06,Delhi,New
57,2023-04-02,Delhi,New
58,2023-09-21,Chennai,Repeat
59,2023-02-04,Bengaluru,New
60,2023-07-25,Delhi,New
61,2023-03-22,Mumbai,Repeat
