order_id,customer_id,order_date,order_amount,order_status,city,cancellation_reason
1,4610,2024-06-17,1503.49,Completed,Hyderabad,
2,530,2024-06-20,546.71,Completed,Chennai,
3,4956,2024-01-04,2463.23,Completed,Pune,
4,2467,2024-05-14,2431.6,Completed,Bengaluru,
5,2242,2024-02-15,1708.76,Completed,Pune,
6,312,2024-01-09,1826.57,Completed,Hyderabad,
7,996,2024-06-09,1179.52,Completed,Delhi,
8,2524,2024-02-02,2413.01,Completed,Pune,
9,2632,2024-03-24,1174.6,Completed,Delhi,
10,264,2024-05-11,750.78,Completed,Hyderabad,
11,3853,2024-03-05,465.37,Completed,Pune,
12,21,2024-04-15,678.69,Completed,Pune,
13,2525,2024-02-03,1516.09,Completed,Delhi,
14,4645,2024-03-25,763.71,Cancelled,Mumbai,Payment Failed
15,1197,2024-03-28,1704.77,Completed,Delhi,
16,3134,2024-06-01,1079.02,Completed,Hyderabad,
17,206,2024-02-24,2239.81,Completed,Delhi,
18,1637,2024-05-16,1484.5,Completed,Chennai,
19,631,2024-01-17,1631.99,Completed,Mumbai,
20,2227,2024-05-28,1480.09,Completed,Hyderabad,
21,2390,2024-05-20,2236.81,Completed,Chennai,
22,4536,2024-05-10,345.87,Completed,Pune,
23,1099,2024-01-04,354.9,Completed,Pune,
24,290,2024-01-07,1814.0,Completed,Mumbai,
25,2605,2024-01-26,1966.32,Completed,Chennai,
26,208,2024-01-24,1197.26,Completed,Hyderabad,
27,3815,2024-01-10,1010.3,Completed,Hyderabad,
28,272,2024-01-13,839.27,Completed,Pune,
29,3679,2024-05-04,739.11,Completed,Delhi,
30,415,2024-06-20,2297.5,Cancelled,Delhi,Delay
31,3469,2024-02-08,878.82,Cancelled,Hyderabad,Delay
32,4480,2024-05-26,1690.58,Completed,Mumbai,
33,1285,2024-06-27,2010.32,Completed,Mumbai,
34,4987,2024-01-19,250.52,Completed,Chennai,
35,1663,2024-03-16,277.91,Completed,Pune,
36,4015,2024-02-21,966.22,Completed,Bengaluru,
37,1042,2024-06-23,1800.84,Completed,Chennai,
38,4091,2024-04-29,799.84,Completed,Mumbai,
39,2295,2024-06-06,203.41,Cancelled,Chennai,Payment Failed
40,3714,2024-02-15,862.74,Completed,Bengaluru,
41,2462,2024-05-28,407.3,Completed,Delhi,
42,1344,2024-03-15,704.65,Completed,Pune,
43,2763,2024-05-03,966.34,Completed,Delhi,
44,2229,2024-02-17,494.53,Completed,Mumbai,
45,3368,2024-03-02,1824.64,Completed,Delhi,
46,944,2024-02-27,788.62,Completed,Hyderabad,
47,4989,2024-01-18,1720.52,Completed,Delhi,
48,4157,2024-04-17,1577.78,Completed,Bengaluru,
49,4060,2024-02-17,2265.5,Completed,Bengaluru,
50,166,2024-03-03,402.25,Completed,Delhi,
51,1906,2024-01-12,693.6,Completed,Mumbai,
52,3057,2024-02-03,2189.91,Completed,Bengaluru,
53,1324,2024-04-11,2090.9,Completed,Chennai,
54,4751,2024-03-27,641.84,Completed,Pune,
55,351,2024-01-25,447.79,Completed,Hyderabad,
56,2311,2024-05-11,2169.36,Completed,Mumbai,
57,3310,2024-05-20,609.72,Completed,Pune,
58,932,2024-06-18,2203.55,Completed,Mumbai,
59,3839,2024-02-18,2410.56,Completed,Bengaluru,
60,1114,2024-03-18,707.86,Completed,Mumbai,
61,2187,2024-06-23,2132.89,Completed,Pune,
62,1990,2024-05-15,1174.81,Completed,Chennai,
63,1386,2024-02-24,2014.19,Completed,Chennai,
64,3485,2024-01-18,1137.01,Completed,Mumbai,
65,1117,2024-02-04,361.91,Completed,Chennai,
66,134,2024-06-08,1839.2,Completed,Bengaluru,
67,3952,2024-05-31,546.58,Completed,Delhi,
68,1228,2024-01-07,2332.16,Completed,Pune,
69,3110,2024-01-13,1160.82,Completed,Chennai,
70,2505,2024-05-05,388.6,Cancelled,Delhi,Price
71,3606,2024-04-21,725.5,Completed,Bengaluru,
72,1882,2024-03-09,2183.79,Completed,Pune,
73,4534,2024-04-09,938.5,Completed,Delhi,
74,680,2024-03-30,2169.55,Completed,Pune,
75,2695,2024-02-11,596.26,Completed,Hyderabad,
76,2670,2024-04-18,1276.9,Completed,Delhi,
77,1248,2024-06-07,2220.0,Completed,Delhi,
78,1192,2024-04-19,311.33,Completed,Hyderabad,
79,1131,2024-01-26,899.84,Completed,Bengaluru,
80,1404,2024-03-16,2292.66,Completed,Hyderabad,
81,2072,2024-02-01,1572.01,Completed,Pune,
82,1331,2024-03-31,1847.33,Completed,Pune,
83,1382,2024-05-04,2136.9,Completed,Pune,
84,370,2024-05-05,1404.27,Completed,Bengaluru,
85,3795,2024-02-21,2144.34,Completed,Hyderabad,
86,2491,2024-05-27,1669.16,Completed,Mumbai,
87,1177,2024-04-12,1777.0,Completed,Delhi,
88,376,2024-04-14,551.57,Completed,Hyderabad,
89,2761,2024-06-16,2359.74,Completed,Pune,
90,3291,2024-01-14,2030.99,Completed,Hyderabad,
91,1944,2024-06-20,784.65,Completed,Hyderabad,
92,958,2024-04-13,1533.99,Cancelled,Bengaluru,Price
93,811,2024-04-26,1065.87,Cancelled,Delhi,Price
94,4923,2024-02-17,1718.92,Completed,Bengaluru,
95,1534,2024-04-02,2485.62,Completed,Chennai,
96,4431,2024-06-19,305.22,Completed,Bengaluru,
97,410,2024-05-23,2390.8,Completed,Pune,
98,54,2024-04-19,366.5,Completed,Bengaluru,
99,4797,2024-06-11,1259.76,Cancelled,Delhi,Delay
100,1099,2024-02-22,1308.85,Completed,Pune,
101,2397,2024-06-10,818.07,Completed,Bengaluru,
102,975,2024-01-03,1503.41,Cancelled,Pune,Delay
103,4489,2024-03-08,2118.12,Cancelled,Hyderabad,Delay
104,4650,2024-05-12,876.11,Completed,Delhi,
105,2895,2024-05-17,361.93,Completed,Mumbai,
106,3280,2024-02-21,1654.25,Completed,Mumbai,
107,4922,2024-06-05,1929.01,Completed,Mumbai,
108,4840,2024-04-05,2395.4,Completed,Hyderabad,
109,2225,2024-01-31,566.91,Completed,Bengaluru,
110,2559,2024-03-06,2273.13,Completed,Chennai,
111,3691,2024-03-31,1308.88,Completed,Hyderabad,
112,139,2024-03-09,742.24,Completed,Mumbai,
113,3174,2024-06-13,2414.32,Completed,Bengaluru,
114,2521,2024-06-03,748.39,Completed,Hyderabad,
115,4638,2024-03-27,1886.92,Completed,Bengaluru,
116,2242,2024-02-02,2005.24,Completed,Mumbai,
117,3828,2024-03-08,1190.19,Cancelled,Delhi,Price
118,1338,2024-03-28,1786.97,Completed,Mumbai,
119,4090,2024-06-20,1516.7,Completed,Chennai,
120,2853,2024-04-04,641.68,Completed,Mumbai,
121,2295,2024-04-17,1947.74,Completed,Pune,
122,2678,2024-06-25,2334.44,Completed,Chennai,
123,73,2024-02-22,1323.87,Completed,Bengaluru,
124,2879,2024-03-14,2486.91,Completed,Pune,
125,2142,2024-02-18,1184.32,Completed,Hyderabad,
126,4531,2024-04-22,1303.39,Completed,Hyderabad,
127,1807,2024-04-23,1749.96,Completed,Mumbai,
128,2046,2024-04-04,627.27,Completed,Chennai,
129,3503,2024-01-25,2274.48,Completed,Pune,
130,4553,2024-05-11,2042.93,Cancelled,Pune,Delay
131,3502,2024-06-27,2206.56,Completed,Delhi,
132,2277,2024-05-18,1601.98,Completed,Delhi,
133,2078,2024-05-24,2232.62,Cancelled,Mumbai,Delay
134,1649,2024-04-17,1763.94,Cancelled,Chennai,Price
135,335,2024-03-09,1376.59,Completed,Chennai,
136,4756,2024-03-24,2343.12,Completed,Hyderabad,
137,4665,2024-06-05,1211.36,Completed,Delhi,
138,4273,2024-03-25,1351.31,Completed,Pune,
139,2872,2024-04-28,589.95,Completed,Pune,
140,2616,2024-03-12,2379.62,Completed,Mumbai,
141,4873,2024-01-20,708.42,Completed,Bengaluru,
142,4173,2024-01-27,663.26,Completed,Bengaluru,
143,933,2024-01-08,432.75,Completed,Hyderabad,
144,636,2024-03-25,1242.73,Completed,Chennai,
145,3230,2024-03-01,829.31,Completed,Chennai,
146,1191,2024-06-04,1903.8,Completed,Mumbai,
147,12,2024-01-03,907.3,Completed,Delhi,
148,4003,2024-01-07,1857.77,Completed,Hyderabad,
149,4927,2024-01-04,650.71,Completed,Delhi,
150,1450,2024-05-12,728.92,Completed,Chennai,
151,449,2024-05-18,2054.2,Completed,Mumbai,
152,2497,2024-05-04,1053.52,Completed,Hyderabad,
153,427,2024-01-15,457.08,Cancelled,Chennai,Delay
154,916,2024-01-13,2411.23,Completed,Chennai,
155,3170,2024-04-27,608.0,Completed,Hyderabad,
156,4727,2024-01-07,545.45,Completed,Delhi,
157,4322,2024-04-13,1024.28,Completed,Bengaluru,
158,447,2024-01-06,419.96,Completed,Bengaluru,
159,1911,2024-03-04,557.92,Completed,Delhi,
160,3736,2024-06-26,2146.82,Completed,Pune,
161,2251,2024-01-30,594.47,Completed,Pune,
162,4771,2024-01-22,456.28,Completed,Hyderabad,
163,2682,2024-06-01,2223.9,Completed,Delhi,
164,1402,2024-06-04,1220.73,Completed,Bengaluru,
165,3408,2024-04-27,561.47,Completed,Mumbai,
166,1044,2024-03-24,1537.49,Cancelled,Pune,Delay
167,3019,2024-06-15,295.46,Completed,Mumbai,
168,392,2024-05-12,1182.98,Completed,Bengaluru,
169,4820,2024-05-22,1557.72,Completed,Delhi,
170,1286,2024-03-30,2401.38,Completed,Pune,
171,4110,2024-06-16,950.87,Completed,Hyderabad,
172,2435,2024-04-30,1959.62,Completed,Mumbai,
173,642,2024-04-15,505.21,Completed,Chennai,
