refund_id,order_id,refund_amount,refund_date,refund_reason
1,6869,1010.62,2024-04-20,Delay
2,24017,992.84,2024-02-02,Payment Issue
3,9669,1427.66,2024-04-12,Delay
4,13641,1371.55,2024-04-21,Quality Issue
5,14019,1599.65,2024-03-19,Payment Issue
6,7489,1347.61,2024-06-18,Payment Issue
7,5805,2033.65,2024-04-04,Payment Issue
8,12910,1402.02,2024-01-31,Payment Issue
9,3387,253.74,2024-03-06,Payment Issue
10,9568,1806.67,2024-01-31,Quality Issue
11,21424,1671.45,2024-03-31,Delay
12,3504,358.46,2024-02-24,Payment Issue
13,6658,1490.96,2024-06-30,Payment Issue
14,19193,750.97,2024-04-04,Payment Issue
15,2519,2319.16,2024-06-21,Quality Issue
16,13362,250.77,2024-06-19,Payment Issue
17,21136,1609.22,2024-06-16,Payment Issue
18,21081,1144.03,2024-02-11,Payment Issue
19,6493,2370.14,2024-02-28,Quality Issue
20,6892,1958.1,2024-04-04,Quality Issue
21,7753,732.01,2024-01-11,Quality Issue
22,8615,2371.59,2024-04-05,Quality Issue
23,6650,1299.03,2024-04-12,Delay
24,2228,1651.83,2024-05-19,Payment Issue
25,12061,2277.58,2024-02-07,Payment Issue
26,19123,1234.23,2024-06-10,Payment Issue
27,9623,290.98,2024-06-18,Delay
28,12280,1566.22,2024-06-13,Payment Issue
29,16448,1482.14,2024-05-20,Payment Issue
30,424,1333.01,2024-02-28,Payment Issue
31,14338,2316.6,2024-05-04,Quality Issue
32,22164,1181.67,2024-03-06,Quality Issue
33,19840,2105.56,2024-01-15,Quality Issue
34,12457,2394.74,2024-05-15,Payment Issue
35,10278,1185.1,2024-06-13,Delay
36,23086,315.55,2024-04-02,Payment Issue
37,1806,1632.41,2024-03-11,Delay
38,2791,1817.07,2024-02-28,Delay
39,24428,1269.04,2024-04-06,Quality Issue
40,17717,422.09,2024-03-01,Delay
41,4973,1254.38,2024-06-13,Quality Issue
42,7614,2151.72,2024-05-18,Delay
43,17239,518.06,2024-03-10,Payment Issue
44,13571,1258.57,2024-05-15,Quality Issue
45,7947,1607.24,2024-04-08,Quality Issue
46,5101,1731.31,2024-02-06,Quality Issue
47,23949,1542.64,2024-06-07,Payment Issue
48,21183,1932.63,2024-01-04,Payment Issue
49,734,532.22,2024-01-18,Delay
50,18405,965.7,2024-06-06,Delay
51,3849,1762.64,2024-03-19,Payment Issue
52,22715,1471.87,2024-02-28,Delay
53,9889,732.26,2024-01-15,Quality Issue
54,4406,859.42,2024-07-01,Payment Issue
55,22684,1027.51,2024-03-28,Quality Issue
56,3353,1454.68,2024-04-24,Payment Issue
57,15192,907.05,2024-04-27,Delay
58,15695,1867.8,2024-04-06,Payment Issue
59,19947,2077.93,2024-06-27,Quality Issue
60,14355,1416.4,2024-03-21,Quality Issue
61,21743,678.26,2024-03-17,Quality Issue
62,18354,250.86,2024-03-07,Payment Issue
63,17581,1181.42,2024-01-06,Payment Issue
64,22489,729.43,2024-06-06,Delay
65,14093,689.98,2024-04-19,Quality Issue
66,20524,908.1,2024-05-21,Delay
67,3493,556.62,2024-03-11,Delay
68,19350,2208.87,2024-04-20,Payment Issue
69,15658,1902.21,2024-03-14,Delay
70,3590,1014.67,2024-04-19,Quality Issue
71,8125,1648.95,2024-06-11,Delay
72,18666,823.7,2024-04-05,Quality Issue
73,12043,935.19,2024-03-31,Quality Issue
74,8505,2394.84,2024-05-19,Delay
75,18725,1572.62,2024-02-01,Payment Issue
76,6254,2497.37,2024-01-13,Quality Issue
77,17245,1798.24,2024-03-12,Quality Issue
78,12332,2280.93,2024-01-21,Payment Issue
79,20199,2462.61,2024-03-12,Payment Issue
80,867,291.94,2024-06-03,Payment Issue
81,11507,2394.33,2024-03-29,Delay
82,12891,1277.93,2024-05-09,Quality Issue
83,15979,1244.41,2024-01-12,Payment Issue
84,12759,1000.24,2024-04-03,Payment Issue
85,21917,1809.89,2024-01-04,Delay
86,9808,1954.83,2024-02-06,Quality Issue
87,5036,354.52,2024-02-15,Quality Issue
88,17519,1179.32,2024-03-21,Quality Issue
89,21079,1600.51,2024-02-15,Payment Issue
90,20182,2445.69,2024-03-28,Payment Issue
91,24662,894.92,2024-01-19,Delay
92,12147,885.1,2024-03-27,Payment Issue
93,16542,1815.32,2024-04-12,Payment Issue
94,9318,2444.1,2024-05-19,Payment Issue
95,15821,2322.83,2024-04-13,Payment Issue
96,13953,2097.47,2024-01-16,Payment Issue
97,12059,1241.12,2024-03-07,Delay
98,8092,225.67,2024-04-04,Payment Issue
99,23590,775.37,2024-06-23,Delay
100,24420,2151.67,2024-05-23,Payment Issue
101,7229,1403.51,2024-06-05,Delay
102,22666,731.61,2024-05-29,Quality Issue
103,13339,1985.11,2024-06-21,Quality Issue
104,9516,577.14,2024-02-02,Quality Issue
105,22390,1143.84,2024-02-01,Quality Issue
106,6550,2270.73,2024-06-07,Payment Issue
107,5690,1495.27,2024-06-02,Quality Issue
108,6516,679.28,2024-04-13,Payment Issue
109,15766,428.71,2024-03-22,Delay
110,14939,204.49,2024-01-25,Delay
111,3610,1924.92,2024-04-11,Quality Issue
112,7887,927.22,2024-01-05,Delay
113,12403,2135.0,2024-02-03,Payment Issue
114,2975,654.24,2024-03-18,Quality Issue
115,1916,1892.02,2024-04-01,Quality Issue
116,7812,504.99,2024-01-23,Delay
117,9603,2448.13,2024-02-10,Payment Issue
118,14416,2426.62,2024-04-11,Delay
119,20140,1178.32,2024-04-03,Quality Issue
120,6096,1491.46,2024-02-11,Payment Issue
121,7540,396.5,2024-03-15,Delay
122,11817,321.17,2024-04-30,Payment Issue
123,10601,1431.18,2024-06-28,Quality Issue
124,14799,944.48,2024-03-27,Payment Issue
125,20480,2365.11,2024-01-17,Delay
126,3711,2337.05,2024-03-19,Delay
127,20926,1310.1,2024-06-07,Delay
128,13610,2299.35,2024-02-08,Delay
129,15466,2004.26,2024-04-19,Quality Issue
130,9995,2416.75,2024-03-21,Delay
131,7299,2098.53,2024-04-03,Quality Issue
132,19854,970.66,2024-01-19,Delay
133,6665,850.28,2024-03-20,Payment Issue
134,23886,209.04,2024-01-07,Payment Issue
135,1428,1224.19,2024-05-18,Delay
136,3078,429.24,2024-04-30,Quality Issue
137,17506,2398.63,2024-04-09,Payment Issue
138,24839,204.33,2024-04-23,Quality Issue
139,3542,2376.86,2024-02-21,Quality Issue
140,8183,1349.42,2024-01-13,Delay
141,9213,521.61,2024-04-26,Delay
142,1347,353.95,2024-02-19,Delay
143,9527,788.82,2024-03-24,Delay
144,4373,350.46,2024-01-18,Quality Issue
145,1890,1910.0,2024-01-17,Delay
146,24672,562.69,2024-07-01,Payment Issue
147,14379,574.07,2024-04-16,Payment Issue
148,7199,1978.37,2024-02-14,Quality Issue
149,4895,2237.46,2024-04-28,Quality Issue
150,2906,1357.71,2024-04-01,Payment Issue
151,6663,2097.62,2024-04-25,Delay
152,9810,1844.1,2024-05-20,Payment Issue
153,5419,1351.77,2024-01-17,Payment Issue
154,3548,1181.43,2024-04-18,Delay
155,12725,1614.44,2024-01-19,Payment Issue
156,13554,1163.35,2024-02-17,Delay
157,24372,1502.36,2024-01-21,Quality Issue
158,11128,2365.0,2024-03-19,Payment Issue
159,17605,618.64,2024-05-10,Payment Issue
160,4745,717.35,2024-03-03,Delay
161,18973,649.89,2024-05-21,Delay
162,1476,1698.41,2024-06-24,Quality Issue
163,21162,1886.96,2024-04-06,Delay
164,537,325.3,2024-04-21,Payment Issue
165,16452,1986.99,2024-06-13,Quality Issue
166,16428,2413.12,2024-02-03,Quality Issue
167,15253,327.95,2024-04-22,Payment Issue
168,22276,2362.55,2024-02-15,Quality Issue
169,18873,2307.87,2024-01-31,Delay
170,2886,1763.02,2024-03-13,Delay
171,14588,2079.62,2024-02-20,Payment Issue
172,2843,2322.33,2024-06-10,Quality Issue
173,13978,1988.8,2024-04-05,Payment Issue
174,24635,1588.69,2024-05-14,Payment Issue
175,7118,1279.43,2024-06-17,Quality Issue
176,19070,1418.43,2024-02-13,Delay
177,10762,2258.24,2024-04-26,Delay
178,10841,719.58,2024-04-01,Payment Issue
179,21480,293.55,2024-06-08,Delay
180,13621,390.55,2024-02-08,Payment Issue
181,21394,1731.42,2024-01-26,Delay
182,7304,1085.79,2024-06-15,Delay
183,5326,2179.5,2024-01-16,Quality Issue
184,24697,661.86,2024-01-13,Payment Issue
185,3674,1206.37,2024-02-13,Quality Issue
186,16675,2359.95,2024-05-25,Payment Issue
187,12366,844.36,2024-02-23,Quality Issue
188,8275,1748.53,2024-01-30,Delay
189,960,1736.95,2024-01-31,Payment Issue
190,12397,1782.92,2024-05-06,Quality Issue
191,1819,328.73,2024-05-29,Delay
192,14280,2131.99,2024-04-12,Delay
193,17918,380.06,2024-05-10,Payment Issue
194,5077,1860.52,2024-04-04,Quality Issue
195,16791,267.4,2024-05-07,Quality Issue
196,1748,1344.46,2024-06-19,Payment Issue
197,324,291.86,2024-06-27,Delay
198,10297,1825.57,2024-06-11,Payment Issue
199,12751,2194.0,2024-03-28,Delay
200,10013,1547.47,2024-03-24,Quality Issue
201,19763,1070.63,2024-02-07,Quality Issue
202,22708,950.25,2024-04-06,Delay
203,3785,757.14,2024-06-15,Quality Issue
204,20799,1052.99,2024-04-02,Payment Issue
205,23769,207.02,2024-03-09,Delay
206,8484,283.58,2024-06-29,Payment Issue
207,24717,631.9,2024-02-16,Delay
208,13837,995.73,2024-05-29,Delay
